"Character"|"Frequency"
"Marinette"|88
"Ladybug"|52
"Adrien"|45
"Hawk Moth"|39
"Alya"|23
"Chloé"|21
"Cat Noir"|16
"Shadow Moth"|10
"Nadja"|9
"Nino"|9
"Gabriel"|7
"Lila"|6
"Alec"|5
"Rose"|5
"Tom"|5
"Jagged"|4
"Kagami"|4
"Kim"|4
"Miss Bustier"|4
"Mr. Damocles"|4
"Plagg"|4
"Roger"|4
"Juleka"|3
"Lady Wifi"|3
"Master Fu"|3
"Max"|3
"Reflekta"|3
"Sabine"|3
"Wayzz"|3
"André"|2
"Audrey"|2
"Captain Hardrock"|2
"Chris"|2
"Collector"|2
"Félix"|2
"Gigantitan"|2
"King Monkey"|2
"Mayor Bourgeois"|2
"Mr. Pigeon"|2
"Ms. Mendeleiev"|2
"Mylène"|2
"Nathalie"|2
"Nathaniel"|2
"Princess Fragrance"|2
"Puppeteer"|2
"Queen Bee"|2
"Rena Rouge"|2
"Santa Claus"|2
"Thomas"|2
"Zoé"|2
"Anansi"|1
"Anarka"|1
"Animan"|1
"Announcer"|1
"Antibug"|1
"Aquabug"|1
"Arlette"|1
"Armand"|1
"August's mother"|1
"Bakerix"|1
"Befana"|1
"Bob"|1
"Bubbler"|1
"Bunnyx"|1
"Bus driver"|1
"Carapace"|1
"Chameleon"|1
"Clara"|1
"Colonel Woof-Woof"|1
"Commercial voice and Marinette"|1
"Copycat"|1
"Daizzi"|1
"Darkblade"|1
"Despair Bear"|1
"Desperada"|1
"Didier Roustan"|1
"Ella and Etta"|1
"Fireman"|1
"Gina"|1
"Guitar Villain"|1
"Harry"|1
"Ikari Gozen"|1
"Ivan"|1
"Jean-Pierre"|1
"Kung Food"|1
"Kwamibuster"|1
"Luka"|1
"Malediktator"|1
"Manon"|1
"Marianne"|1
"Marinette and Nino"|1
"Markov"|1
"Mayura"|1
"Mini-Malediktator"|1
"Miracle Queen"|1
"Miraculer"|1
"Mister Bug"|1
"Moolak"|1
"Mr. Bourgeois"|1
"Mr. Ramier"|1
"Mrs. Tsurugi"|1
"Multimouse"|1
"Mummies"|1
"Penalty"|1
"Penalty 2"|1
"Penny"|1
"Pennybug"|1
"Philippe"|1
"Pixelator"|1
"Psycomedian"|1
"Reverser"|1
"Roaar"|1
"Robostus"|1
"Rogercop"|1
"Rolland"|1
"Sabrina"|1
"Sapoti"|1
"Scarlet Moth"|1
"Sentibubbler"|1
"Simon Says"|1
"Simpleman"|1
"Soldier"|1
"Sole Crusher"|1
"Stagehand"|1
"Stoneheart"|1
"Strikeback"|1
"Style Queen"|1
"Su-Han"|1
"The Pharaoh"|1
"The rest of the Kwamis"|1
"Tikki"|1
"Timebreaker"|1
"Troublemaker"|1
"Truth"|1
"Vesperia"|1
"Wayhem"|1
"Wishmaker"|1
"Xuppu"|1
"Zombizou"|1
